nama_jalan;kecamatan;kelurahan;lat_centroid;lng_centroid;fungsi_jalan;panjang_m;lebar_m;competitor_cafe;competitor_fnb;competitor_laundry;competitor_gym;competitor_fashion;competitor_stationery;competitor_carwash;competitor_photostudio;competitor_barbershop;competitor_salon;competitor_bengkel;competitor_elektronik;demand_university;demand_college;demand_school;demand_office;demand_mall;demand_hospital;transit_bus_stop;transit_bus_station;transit_train_station;transit_public_transport;total_poi_asli;bobot_fungsi;traffic_score;transit_score;total_poi_imputed;total_poi;density_cafe;log_traffic;ratio_bengkel;poi_akademik;poi_komersial;poi_score_cafe;comp_ratio_cafe;poi_score_laundry;comp_ratio_laundry;poi_score_stationery;comp_ratio_stationery;poi_score_photostudio;comp_ratio_photostudio;poi_score_barbershop;comp_ratio_barbershop;poi_score_fnb;comp_ratio_fnb;poi_score_gym;comp_ratio_gym;poi_score_salon;comp_ratio_salon;poi_score_elektronik;comp_ratio_elektronik;poi_score_fashion;comp_ratio_fashion;poi_score_bengkel;comp_ratio_bengkel;poi_score_carwash;comp_ratio_carwash;total_competitor
Jl. Liman Mukti;Pedurungan;Pedurungan Kidul;-7,019271936;110,4772846;Kolektor Sekunder;130,54;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6,664715096;0;0;0;0;6,664715096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Lumbungsari;Pedurungan;Kalicari;-6,993977361;110,4555379;Kolektor Sekunder;365,09;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,979927763;0;0;0;0;7,979927763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Malangsari;Pedurungan;Tlogosari Kulon;-6,979993581;110,4538569;Lokal Primer;654,96;4;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;0;0;0;0;1;1;7,871250156;0;1;0,693147181;0;7,871250156;0,000381557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181
Jl. Margisari;Pedurungan;Pedurungan Kidul;-7,023361233;110,4787829;Kolektor Sekunder;185,05;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,01328578;0;0;0;0;7,01328578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Margisari Utara;Pedurungan;Pedurungan Kidul;-7,023825466;110,4790178;Kolektor Sekunder;97,99;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6,378324311;0;0;0;0;6,378324311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Muktiharjo Kidul;Pedurungan;Muktiharjo Kidul;-6,971501145;110,4595531;Kolektor Sekunder;754,25;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;1;2;8,705331134;3,17805383;20;16,4656333;1,325820351;8,705331134;0,0001657;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Muwardi;Pedurungan;Kalicari;-7,003142564;110,4571108;Kolektor Sekunder;750,06;3;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;0;2;8,412134852;3,17805383;20;16,4656333;1,333226675;8,412134852;0,000222155;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Muwardi Timur;Pedurungan;Kalicari;-7,004717372;110,4577643;Kolektor Sekunder;451,92;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8,193223274;0;0;0;0;8,193223274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Nogososro;Pedurungan;Tlogosari Kulon;-6,980608486;110,4639079;Lokal Primer;736,88;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0,693147181;0;0;0;2;1;8,394410679;0,693147181;2;2,079441542;0;8,394410679;0;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0
Jl. Palebon;Pedurungan;Palebon;-7,006472727;110,4673675;Kolektor Sekunder;850,88;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;1;2;8,825859546;3,17805383;20;16,4656333;1,175253855;8,825859546;0,000146885;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Parang Baris;Pedurungan;Tlogosari Kulon;-6,98265744;110,4605676;Kolektor Sekunder;220,88;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,344176271;0;0;0;0;7,344176271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Parang Barong;Pedurungan;Tlogosari Kulon;-6,981476628;110,459581;Kolektor Sekunder;494,97;4;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0,693147181;0;0;0;0;0;0;2;2;8,284191205;0;2;1,386294361;0;8,284191205;0,000252477;0;2,079441542;0;0;0;0;0;0;0;0;0;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;0,693147181
Jl. Parang Kembang;Pedurungan;Tlogosari Kulon;-6,986827152;110,4592732;Kolektor Sekunder;337,43;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;1;2;7,901170002;0;1;0,693147181;0;7,901170002;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0
Jl. Parang Kesit;Pedurungan;Tlogosari Kulon;-6,984554534;110,4587114;Kolektor Sekunder;211,91;6;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;1,098612289;0;0;0;0;0;0;3;2;7,841461477;0;3;1,791759469;0;7,841461477;0,000393094;0;3,295836866;0;0;0;0;0;0;0;0;0;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;0,693147181
Jl. Parang Klitik;Pedurungan;Tlogosari Kulon;-6,984556495;110,460041;Kolektor Sekunder;214,86;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,4500098;0;0;0;0;7,4500098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Parang Kusumo;Pedurungan;Tlogosari Kulon;-6,986975637;110,4585349;Kolektor Sekunder;389,1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,098612289;0;0;0;0;0;0;2;2;8,043599124;0;2;1,098612289;0;8,043599124;0;0;3,295836866;0;0;0;0;0;0;0;0;0;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;0
Jl. Parang Sarpo;Pedurungan;Tlogosari Kulon;-6,980680347;110,4611169;Kolektor Sekunder;232,92;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;1;2;7,397218339;0;1;0,693147181;0;7,397218339;0;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0
Jl. Pedurungan Tengah;Pedurungan;Pedurungan Lor;-7,008492505;110,4760763;Kolektor Sekunder;772,37;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;1;2;8,729067078;3,17805383;20;16,4656333;1,294716263;8,729067078;0,000161813;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Pedurungan Tengah 4;Pedurungan;Pedurungan Tengah;-7,009418629;110,4740837;Kolektor Sekunder;382,54;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,739028282;0;0;0;0;7,739028282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Plamongan;Pedurungan;Pedurungan Kidul;-7,020051181;110,4796913;Kolektor Sekunder;277,23;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8,110054684;0;0;0;0;8,110054684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Plamongan Elok;Pedurungan;Pedurungan Kidul;-7,019675143;110,4782703;Kolektor Sekunder;333,66;6;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;0;2;8,295278884;3,17805383;20;16,4656333;2,997062878;8,295278884;0,000249693;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Plamongan Elok 7;Pedurungan;Pedurungan Kidul;-7,021945038;110,4774175;Kolektor Sekunder;261,48;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,358754462;0;0;0;0;7,358754462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Plamongan Indah;Pedurungan;Pedurungan Kidul;-7,019741655;110,4812714;Kolektor Sekunder;670,68;3;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;0;2;8,300300065;3,17805383;20;16,4656333;1,491024035;8,300300065;0,000248442;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Plamongan Permai 4;Pedurungan;Pedurungan Kidul;-7,020935753;110,4785783;Kolektor Sekunder;256,63;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,340044061;0;0;0;0;7,340044061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Plamongan Sari;Pedurungan;Plamongan Sari;-7,032707478;110,481795;Kolektor Sekunder;1725,41;3,5;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;0;2;9,399212924;3,17805383;20;16,4656333;0,579572391;9,399212924;8,27892E-05;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Plamongansari;Pedurungan;Pedurungan Kidul;-7,016586271;110,4834933;Kolektor Sekunder;252,61;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,098612289;0;0;1,098612289;4;2;7,478322311;2,197224577;4;4,394449155;0;7,478322311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Purwomukti;Pedurungan;Pedurungan Lor;-7,010001661;110,4804662;Kolektor Sekunder;873,79;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;0;2;8,852424659;3,17805383;20;16,4656333;1,14443974;8,852424659;0,000143035;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Sapen;Pedurungan;Tlogomulyo;-7,001244038;110,4891876;Kolektor Sekunder;864,69;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;1;2;8,841957153;3,17805383;20;16,4656333;1,156483827;8,841957153;0,00014454;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Sapta Prasetya;Pedurungan;Pedurungan Kidul;-7,017135299;110,4737895;Kolektor Sekunder;393,77;6;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;3;2;8,460885239;3,17805383;20;16,4656333;2,539553546;8,460885239;0,000211585;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Sapta Prasetya Barat 1;Pedurungan;Pedurungan Kidul;-7,015910849;110,4736545;Kolektor Sekunder;441,42;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,88213377;0;0;0;0;7,88213377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Sapta Prasetya Selatan;Pedurungan;Pedurungan Kidul;-7,017972961;110,4727329;Kolektor Sekunder;229,33;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,227647974;0;0;0;0;7,227647974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Sapta Prasetya Utara;Pedurungan;Pedurungan Kidul;-7,016491167;110,475246;Kolektor Sekunder;375,2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;1;2;8,007233859;0;1;0,693147181;0;8,007233859;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0
Jl. Satrio Wibowo 1;Pedurungan;Tlogosari Kulon;-6,982892923;110,4562958;Kolektor Sekunder;612,58;3,5;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;2;2;8,363822874;3,17805383;20;16,4656333;1,632439845;8,363822874;0,000233151;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Sendang Sari Utara;Pedurungan;Gemah;-7,008572694;110,4594508;Kolektor Sekunder;283,61;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0,693147181;0;0;0,693147181;3;2;7,727482246;1,386294361;3;3,465735903;0;7,727482246;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0
Jl. Sendang Sari Utara 1;Pedurungan;Kalicari;-6,994748428;110,4555276;Kolektor Sekunder;174,42;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;1;2;7,464624441;0;1;0,693147181;0;7,464624441;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0
Jl. Sendang Utara;Pedurungan;Kalicari;-6,995534265;110,4552962;Kolektor Sekunder;322,4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;1;2;8,260958105;0;1;0,693147181;0;8,260958105;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0
Jl. Sendang Utara 3;Pedurungan;Gemah;-7,011352971;110,4611528;Kolektor Sekunder;1421,86;3;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;0;2;9,051597832;3,17805383;20;16,4656333;0,703304123;9,051597832;0,000117204;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Sendangguwo;Pedurungan;Gemah;-7,008362683;110,4550642;Kolektor Sekunder;364,29;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,97773487;0;0;0;0;7,97773487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Sendangguwo Baru;Pedurungan;Gemah;-7,009305014;110,4612898;Kolektor Sekunder;369,72;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;1;2;7,704956122;0;1;0,693147181;0;7,704956122;0;0;2,079441542;0;0;0;0;0;0;0;0;0;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;0
Jl. Sendangmulyo - TVRI;Pedurungan;Plamongan Sari;-7,038127;110,4831652;Kolektor Sekunder;535,08;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8,228593365;0;0;0;0;8,228593365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Sidodrajat 1;Pedurungan;Muktiharjo Kidul;-6,9773972;110,4624384;Kolektor Sekunder;38,17;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5,591695685;0;0;0;0;5,591695685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Sidomulyo 1;Pedurungan;Muktiharjo Kidul;-6,977727677;110,4623504;Kolektor Sekunder;37,48;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5,573521917;0;0;0;0;5,573521917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Singa;Pedurungan;Kalicari;-7,002944788;110,4560481;Kolektor Sekunder;215,38;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;1;2;7,452425653;0;1;0,693147181;0;7,452425653;0;0;2,079441542;0;0;0;0;0;0;0;0;0;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;0
Jl. Singa Utara;Pedurungan;Kalicari;-6,999919782;110,4586088;Kolektor Sekunder;596,39;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;1;2;8,47054593;3,17805383;20;16,4656333;1,676755143;8,47054593;0,00020955;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Soekarno - Hatta;Pedurungan;Kalicari;-6,992585472;110,4580603;Arteri Sekunder;5242,48;14;1,098612289;0,693147181;0,693147181;0;1,098612289;0;0;0;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;1,098612289;0,693147181;0;1,098612289;4;3;12,30222411;3,583518938;19;15,60258708;0,381498833;12,30222411;4,54163E-06;2,772588722;2,772588722;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;1,386294361;2,772588722;1,386294361;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;1,386294361;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;1,386294361;6,356107661
Jl. Suhada;Pedurungan;Tlogosari Kulon;-6,985075887;110,4651664;Lokal Primer;2001,83;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9,211354857;0;0;0;0;9,211354857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Sunan Kalijaga;Pedurungan;Penggaron Kidul;-7,011106203;110,4893778;Kolektor Sekunder;1551,74;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;1,386294361;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;3;2;9,426654254;3,17805383;22;17,15878048;0,644437857;9,426654254;8,05482E-05;1,386294361;3,988984047;1,386294361;1,228151673;1,386294361;1,228151673;1,386294361;1,228151673;1,386294361;1,228151673;1,386294361;1,228151673;3,988984047;1,228151673;3,988984047;1,228151673;3,988984047;1,228151673;3,988984047;1,228151673;3,988984047;1,228151673;3,988984047;1,228151673;3,988984047;1,228151673;8,317766167
Jl. Supriyadi;Pedurungan;Kalicari;-6,99837574;110,4561945;Kolektor Sekunder;1680,42;12;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;1,098612289;2;2;10,60487767;3,17805383;20;16,4656333;0,595089323;10,60487767;2,47948E-05;0,693147181;3,988984047;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;3,988984047;0,818767782;8,317766167
Jl. Taman Liman Mukti 2;Pedurungan;Pedurungan Kidul;-7,019972717;110,4774082;Kolektor Sekunder;137,01;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6,713029102;0;0;0;0;6,713029102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Taman Majapahit;Pedurungan;Pedurungan Lor;-7,007958489;110,4847139;Kolektor Sekunder;936,13;12;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0;1,098612289;1;2;10,01985269;3,17805383;21;17,15878048;1,068227703;10,01985269;4,45075E-05;0,693147181;5,375278408;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;5,375278408;0,818767782;5,375278408;0,818767782;5,375278408;0,818767782;5,375278408;0,818767782;5,375278408;0,818767782;5,375278408;0,818767782;5,375278408;0,818767782;8,317766167
